PROJECT_COUNT,REPORT_MONTH,G_PROJECT_KEY,ERC_CD,ORG,PROJECT_NAME,CONTRACT_STATUS,INSTALLED_CAP_MW,REPORTED_INST_CAP_MW,CONTRACTED_CAP_MW,PROJECT_TYPE,CONTRACT_TYPE,TECHNOLOGY_A_GROUP_1,TECHNOLOGY_A_GROUP_2,TECHNOLOGY_B_GROUP_1,TECHNOLOGY_B_GROUP_2,PRIMARY_FUEL_A_GROUP_1,PRIMARY_FUEL_A_GROUP_3,PRIMARY_FUEL_A_DETAIL,UTILIZATION,SCOD,COD,LICENSINGNO,EGAT_SYS_GEN,ERC_DISTRICT_NO,ERC_DISTRICT,PROVINCE,DISTRICT,SUBDISTRICT,COUNTRY_ZONE,IS_SHARING_LIC,SPP_VSPP_PLANT_CD,PPA_CONTRACT_NO,DISPLAY_ADDR,SPP_VSPP_ROWID,LINK_KV,SUBSTATION,EGAT_SUB,SOURCE
1,Sep 2022,1000,1121111,PEA,???.????.??.???. ??????????,COD ????,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-586,NO   ,7,?????? 7 (???????),???????,????????????,?????????,???????,NO   ,PEA-1020-VN3-110,PVF1-PEA-095/2558,?????? 93 ??????? 7 ????????????? ????????????????? ?????????????? ???????????? 27000,10997,115,?????????? 2 - ??????? (115kV),PA2,
1,Sep 2022,1003,1121114,PEA,???.????.??.???. ??????????,COD ????,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-611,NO   ,7,?????? 7 (???????),???????,????????????,?????????,???????,NO   ,PEA-1040-VNE1-110,PVF1-PEA-100/2558,?????? 96 ??????? 7 ????????????? ????????????????? ?????????????? ???????????? 27000,11212,115,?????????? 2 - ??????? (115kV),PA2,
1,Sep 2022,1004,1121115,PEA,???.????.??.???. ??????????,COD ????,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-612,NO   ,7,?????? 7 (???????),???????,????????????,?????????,???????,NO   ,PEA-1014-VC2-110,PVF1-PEA-143/2558,?????? 97 ??????? 7 ????????????? ????????????????? ?????????????? ???????????? 27000,11369,115,?????????? 2 - ??????? (115kV),PA2,
1,Sep 2022,1006,1121117,PEA,???.????.??.???. ??????????,COD ????,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-585,NO   ,7,?????? 7 (???????),???????,????????????,?????????,???????,NO   ,PEA-1028-VN3-110,PVF1-PEA-091/2558,?????? 92 ??????? 7 ????????????? ????????????????? ?????????????? ???????????? 27000,11496,115,?????????? 2 - ??????? (115kV),PA2,
1,Sep 2022,1007,1121118,PEA,???.????.??.???. ??????????,COD ????,5.04,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-592,NO   ,7,?????? 7 (???????),???????,????????????,??????????,???????,NO   ,PEA-1029-VN3-110,PVF1-PEA-092/2558,?????? 114 ??????? 7 ?????????????? ????????????????? ?????????????? ???????????? 27000,11497,115,?????????? 2,PA2,
1,Sep 2022,1008,1121119,PEA,???.????.??.???. ??????????,COD ????,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-593,NO   ,7,?????? 7 (???????),???????,????????????,??????????,???????,NO   ,PEA-1030-VN3-110,PVF1-PEA-093/2558,?????? 115 ??????? 7 ?????????????? ????????????????? ?????????????? ???????????? 27000,11498,115,?????????? 2,PA2,
1,Sep 2022,1011,1121122,PEA,???.????.??.???. ??????????,COD ????,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-589,NO   ,7,?????? 7 (???????),???????,????????????,??????????,???????,NO   ,PEA-1042-VN2-110,PVF1-PEA-085/2558,?????? 111 ??????? 7 ?????????????? ????????????????? ?????????????? ???????????? 27000,11594,115,?????????? 2,PA2,
1,Sep 2022,1012,1121123,PEA,???.????.??.???. ??????????,COD ????,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-588,NO   ,7,?????? 7 (???????),???????,????????????,??????????,???????,NO   ,PEA-1037-VN2-110,PVF1-PEA-084/2558,?????? 110 ??????? 7 ?????????????? ????????????????? ?????????????? ???????????? 27000,11595,115,?????????? 2,PA2,
1,Sep 2022,1013,1121124,PEA,???.????.??.???. ??????????,COD ????,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-580,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1035-VNE2-110,PVF1-PEA-103/2558,?????? 176/1 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11807,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1014,1121125,PEA,???.????.??.???. ??????????,COD ????,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-582,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1021-VNE2-110,PVF1-PEA-108/2558,?????? 176/5 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11808,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1016,1121127,PEA,???.????.??.???. ??????????,COD ????,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-596,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1022-VNE2-110,PVF1-PEA-106/2558,?????? 176/3 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11979,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1017,1121128,PEA,???.????.??.???. ??????????,COD ????,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,31-Dec-15,29-Apr-16,??? 01-1(1)/59-581,NO   ,7,?????? 7 (???????),???????,??????????,???????,???????,NO   ,PEA-1025-VNE2-110,PVF1-PEA-107/2558,?????? 176/4 ??????? 1 ??????????? ??????????????? ?????????????? ???????????? 27120,11980,115,???????? - ?????????? (115 kV),WNK,
1,Sep 2022,1023,1121134,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Apr-16,??? 01-1(1)/58-494,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1051-VS3-110,PVF1-PEA-164/2558,?????? 88/3 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10629,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1024,1121135,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/59-603,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1052-VS3-110,PVF1-PEA-165/2558,?????? 88/4 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10630,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1025,1121136,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Feb-16,??? 01-1(1)/59-604,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1053-VS3-110,PVF1-PEA-166/2558,?????? 88/6 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10631,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1026,1121137,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,30-Apr-16,??? 01-1(1)/58-502,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1054-VS3-110,PVF1-PEA-167/2558,?????? 88/5 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10632,115,??????? 1- ???????? (115 kV),PB,
1,Sep 2022,1027,1121138,PEA,???.??????????? ????,COD ????,5.4,5.95,5.95,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,??????????,Power Generation,30-Jun-16,26-Apr-16,??? 01-1(1)/58-504,NO   ,10,?????? 10 (???????),????????,???????,???????,??????,NO   ,PEA-1055-VS3-110,PVF1-PEA-168/2558,?????? 88/7 ??????? 5 ??????????? ???????????? ??????????????? ???????????? 76140,10633,115,??????? 1- ???????? (115 kV),PB,
