PROJECT_COUNT,REPORT_MONTH,G_PROJECT_KEY,ERC_CD,ORG,PROJECT_NAME,CONTRACT_STATUS,INSTALLED_CAP_MW,REPORTED_INST_CAP_MW,CONTRACTED_CAP_MW,PROJECT_TYPE,CONTRACT_TYPE,TECHNOLOGY_A_GROUP_1,TECHNOLOGY_A_GROUP_2,TECHNOLOGY_B_GROUP_1,TECHNOLOGY_B_GROUP_2,PRIMARY_FUEL_A_GROUP_1,PRIMARY_FUEL_A_GROUP_3,PRIMARY_FUEL_A_DETAIL,UTILIZATION,SCOD,COD,LICENSINGNO,EGAT_SYS_GEN,ERC_DISTRICT_NO,ERC_DISTRICT,PROVINCE,DISTRICT,SUBDISTRICT,COUNTRY_ZONE,IS_SHARING_LIC,SPP_VSPP_PLANT_CD,PPA_CONTRACT_NO,DISPLAY_ADDR,SPP_VSPP_ROWID,LINK_KV,SUBSTATION,EGAT_SUB,SOURCE
1,Sep 2022,1000,1121111,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-586,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,ศาลาลำดวน,ภาคกลาง,NO   ,PEA-1020-VN3-110,PVF1-PEA-095/2558,เลขที่ 93 หมู่ที่ 7 ตำบลศาลาลำดวน อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,10997,115,ปราจีนบุรี 2 - สระแก้ว (115kV),PA2,
1,Sep 2022,1003,1121114,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-611,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,ศาลาลำดวน,ภาคกลาง,NO   ,PEA-1040-VNE1-110,PVF1-PEA-100/2558,เลขที่ 96 หมู่ที่ 7 ตำบลศาลาลำดวน อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,11212,115,ปราจีนบุรี 2 - สระแก้ว (115kV),PA2,
1,Sep 2022,1004,1121115,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-612,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,ศาลาลำดวน,ภาคกลาง,NO   ,PEA-1014-VC2-110,PVF1-PEA-143/2558,เลขที่ 97 หมู่ที่ 7 ตำบลศาลาลำดวน อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,11369,115,ปราจีนบุรี 2 - สระแก้ว (115kV),PA2,
1,Sep 2022,1006,1121117,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-585,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,ศาลาลำดวน,ภาคกลาง,NO   ,PEA-1028-VN3-110,PVF1-PEA-091/2558,เลขที่ 92 หมู่ที่ 7 ตำบลศาลาลำดวน อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,11496,115,ปราจีนบุรี 2 - สระแก้ว (115kV),PA2,
1,Sep 2022,1007,1121118,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,5.04,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-592,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,โคกปี่ฆ้อง,ภาคกลาง,NO   ,PEA-1029-VN3-110,PVF1-PEA-092/2558,เลขที่ 114 หมู่ที่ 7 ตำบลโคกปี่ฆ้อง อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,11497,115,ปราจีนบุรี 2,PA2,
1,Sep 2022,1008,1121119,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-593,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,โคกปี่ฆ้อง,ภาคกลาง,NO   ,PEA-1030-VN3-110,PVF1-PEA-093/2558,เลขที่ 115 หมู่ที่ 7 ตำบลโคกปี่ฆ้อง อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,11498,115,ปราจีนบุรี 2,PA2,
1,Sep 2022,1011,1121122,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-589,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,โคกปี่ฆ้อง,ภาคกลาง,NO   ,PEA-1042-VN2-110,PVF1-PEA-085/2558,เลขที่ 111 หมู่ที่ 7 ตำบลโคกปี่ฆ้อง อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,11594,115,ปราจีนบุรี 2,PA2,
1,Sep 2022,1012,1121123,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,4.96,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-588,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,เมืองสระแก้ว,โคกปี่ฆ้อง,ภาคกลาง,NO   ,PEA-1037-VN2-110,PVF1-PEA-084/2558,เลขที่ 110 หมู่ที่ 7 ตำบลโคกปี่ฆ้อง อำเภอเมืองสระแก้ว จังหวัดสระแก้ว รหัสไปรษณีย์ 27000,11595,115,ปราจีนบุรี 2,PA2,
1,Sep 2022,1013,1121124,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-580,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,อรัญประเทศ,หันทราย,ภาคกลาง,NO   ,PEA-1035-VNE2-110,PVF1-PEA-103/2558,เลขที่ 176/1 หมู่ที่ 1 ตำบลหันทราย อำเภออรัญประเทศ จังหวัดสระแก้ว รหัสไปรษณีย์ 27120,11807,115,วัฒนานคร - อรัญประเทศ (115 kV),WNK,
1,Sep 2022,1014,1121125,PEA,บจก.เอ็น.พี.เอส. สตาร์กรุ๊ป,COD แล้ว,5.4,6,6,VSPP,Non-Firm,Solar,Photovoltaic,N/A,N/A,Renewable,Solar Farm,แสงอาทิตย์,Power Generation,31-Dec-15,29-Apr-16,กกพ 01-1(1)/59-582,NO   ,7,เขตที่ 7 (สระบุรี),สระแก้ว,อรัญประเทศ,หันทราย,ภาคกลาง,NO   ,PEA-1021-VNE2-110,PVF1-PEA-108/2558,เลขที่ 176/5 หมู่ที่ 1 ตำบลหันทราย อำเภออรัญประเทศ จังหวัดสระแก้ว รหัสไปรษณีย์ 27120,11808,115,วัฒนานคร - อรัญประเทศ (115 kV),WNK,
