year,type,provinceNumber,provinceTranslate,regionNumber,province,fuel,contractCapacityMW,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2563,Adder,65,กระบี่, 3 ,กระบี่,ชีวภาพ,26.951,3951101,5295138,7765883,8065652,9440861,8599060,7827149,7282923,5961273,5395931,4454501,3601068
2563,Adder,65,กระบี่, 3 ,กระบี่,ชีวมวล,1,0,0,0,0,108,18,0,18,0,0,0,0
2563,Adder,65,กระบี่, 3 ,กระบี่,พลังงานแสงอาทิตย์,0.00688,45,24,27,16,12,20,26,1,0,0,0,351
2563,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,ชีวภาพ,27.01,5681502,5527310,6407488,4255165,4771995,5473081,4846568,5029557,5234099,5239298,4256412,4936088
2563,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,ชีวมวล,0.08,0,0,0,0,0,0,0,0,0,0,0,0
2563,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,พลังงานแสงอาทิตย์,50.94,6309680,6631620,7609400,6995503,7271420,6599060,6868498,6581820,6654738,4914468,6605412,6822839
2563,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,โคเจน,15,2002562,2063991,3720024,2684432,2862521,4001921,3120985,2176069,1191000,1651974,1147604,783200
2563,Adder,31,กาฬสินธุ์, 2 ,กาฬสินธุ์,ชีวภาพ,9.773,2423740,3343480,3422425,1406380,1088880,272300,1617400,2512760,3045160,1977140,1375580,2483900
2563,Adder,31,กาฬสินธุ์, 2 ,กาฬสินธุ์,ชีวมวล,16,10185368,8600111,3184395,4722933,5576176,424160,0,2519973,5421158,0,0,5234919
2563,Adder,31,กาฬสินธุ์, 2 ,กาฬสินธุ์,พลังงานแสงอาทิตย์,2.885,472580,450160,430520,459400,424400,378100,401780,337260,386960,328320,436700,493518
2563,Adder,10,กำแพงเพชร, 4 ,กำแพงเพชร,ขยะ,0.2,0,0,864,644,828,1880,0,0,0,0,0,0
2563,Adder,10,กำแพงเพชร, 4 ,กำแพงเพชร,ชีวภาพ,2.802,329226,527567,658720,385359,248952,128320,6880,68320,112740,250560,428080,919608
2563,Adder,10,กำแพงเพชร, 4 ,กำแพงเพชร,พลังงานแสงอาทิตย์,32,4764720,4976040,5192760,4843200,5162760,4673520,5318760,4405440,4612800,3815040,4947720,5150760
2563,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,ขยะ,4.5,3343067,3133121,3321420,2509084,3322619,3218200,3326984,3104002,2068251,3336916,2998207,3348588
2563,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,ชีวภาพ,1,30360,11040,18120,87480,242400,173280,196560,132480,90720,76800,251791,16560
2563,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,ชีวมวล,8.18,5391656,3501529,120,360,138149,360,360,62280,5345199,5765742,2351486,4006783
2563,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,พลังงานแสงอาทิตย์,66.786,10896638,10902638,10773529,10900110,10984184,10160377,10726668,9319923,9301113,7689876,10651504,11622975
2563,Adder,48,จันทบุรี, 6 ,จันทบุรี,ชีวภาพ,5.915,1580480,2273560,1431880,183560,389760,103720,145320,0,524960,967080,964720,2221760
2563,Adder,51,ฉะเชิงเทรา, 6 ,ฉะเชิงเทรา,ขยะ,2.4,898880,879440,878600,883120,1008960,951160,1145880,1153760,1151200,1162560,1141800,1191720
2563,Adder,51,ฉะเชิงเทรา, 6 ,ฉะเชิงเทรา,ชีวภาพ,1,39180,63723,43454,58876,114820,34320,17400,66059,180606,61920,43111,75271
2563,Adder,51,ฉะเชิงเทรา, 6 ,ฉะเชิงเทรา,พลังงานแสงอาทิตย์,1.36,112378,183648,247018,226089,228604,192852,210194,198346,187484,165746,200043,205401
2563,Adder,47,ชลบุรี, 6 ,ชลบุรี,ชีวภาพ,4.55,86860,193420,614000,518580,737540,833820,584680,55940,76000,94360,92080,88720
2563,Adder,47,ชลบุรี, 6 ,ชลบุรี,ชีวมวล,9,2624200,3027500,974740,640,0,0,0,0,0,0,3700,1338620
2563,Adder,47,ชลบุรี, 6 ,ชลบุรี,พลังงานแสงอาทิตย์,32.0054,4554548,4388580,4663614,4171698,4087564,3379185,3997234,3937543,3460796,3105059,4345623,4601191
2563,Adder,17,ชัยนาท, 4 ,ชัยนาท,ชีวภาพ,0.99,57500,92620,89920,63120,63480,117160,81760,99520,62080,0,48220,64660
2563,Adder,17,ชัยนาท, 4 ,ชัยนาท,พลังงานแสงอาทิตย์,6.5,858960,896640,957600,935120,941840,982560,1055600,960640,937280,784400,1054000,1054320
2563,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,ชีวภาพ,3.6,504630,877470,1143630,499830,0,0,0,0,386610,956093,706560,1190160
2563,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,ชีวมวล,6.2,4038518,3476682,177040,0,0,1306576,1324248,2048021,2073739,2027970,841778,3114351
2563,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,พลังงานลม,6.9,931760,1397856,789408,866162,674977,644299,583851,792758,372699,1006501,1691909,2038854
2563,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,พลังงานแสงอาทิตย์,46.5,7797301,7790125,8144310,8259281,8262045,7580196,8454686,7655217,7617388,5293872,7971404,8401259
2563,Adder,61,ชุมพร, 3 ,ชุมพร,ชีวภาพ,18.02,757760,1174116,2145160,3433980,5227283,4635020,4086620,3252699,2206020,2502500,2053640,1621920
2563,Adder,64,ตรัง, 3 ,ตรัง,ชีวภาพ,5.972,384960,741210,1169628,1499804,1324908,1168944,1082420,1497495,963739,835002,848286,461400
2563,Adder,64,ตรัง, 3 ,ตรัง,พลังงานแสงอาทิตย์,0.0095,185,136,136,121,107,115,121,129,107,130,109,54
2563,Adder,11,ตาก, 4 ,ตาก,ขยะ,1.25,0,0,0,0,0,0,79160,49240,71440,48180,36060,36080
2563,Adder,11,ตาก, 4 ,ตาก,ชีวภาพ,0.95,0,0,0,0,0,0,0,0,0,0,0,0
