COUNTRY_ZONE,PROVINCE,EGAT_SUB,PEA_SUB,FUEL,FUEL2,CONTRACTED_CAP_MW,ก่อนปรับ,
ภาคกลางตอนบน,นครนายก,NCO,องครักษ์,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,นครนายก,NY,นครนายก 1,Biogas,,0.96,,
ภาคกลางตอนบน,นครนายก,PA2,บ้านสร้าง  ,Solar Farm,,8,,
ภาคกลางตอนบน,ปทุมธานี,LLA,คลองหลวง,Solar Farm,,0.0447,,
ภาคกลางตอนบน,ปทุมธานี,LLA,องครักษ์,Biogas,,0.022,,
ภาคกลางตอนบน,ปทุมธานี,LLA,องครักษ์,Solar Farm,,0.0022,,
ภาคกลางตอนบน,ปทุมธานี,NV,คลองหลวง,Solar Farm,,1.75,,
ภาคกลางตอนบน,ปทุมธานี,NV,นวนคร 2,MSW,,6,,
ภาคกลางตอนบน,ปทุมธานี,RS(A),บ้านใหม่,Solar Farm,,0.056,,
ภาคกลางตอนบน,ปทุมธานี,RS(A),ปทุมธานี 1,Biogas,,0.055,,
ภาคกลางตอนบน,ปทุมธานี,RS(A),ปทุมธานี 3,Solar Farm,,0.002,,
ภาคกลางตอนบน,ปทุมธานี,SKK,PATHUMTHANI 2,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,ปทุมธานี,SKK,ปทุมธานี 1,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,ปทุมธานี,SKK,ลาดหลุมแก้ว,Solar ราชการ/สหกรณ์การเกษตร 1,,8,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AT1,ดอนพุด,Biogas,,1.3,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AT1,ดอนพุด,Biomass,,8,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AT1,บางปะหัน,MSW,,2.8,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AT1,บางปะหัน,Solar Farm,,16,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AT2,เสนา,Solar Farm,,1.75,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AY1,บางไทร,Solar ราชการ/สหกรณ์การเกษตร 1,,10,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AY1,โรจนะ 2,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AY1,เสนา,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AY1,อยุธยา 1,Solar Farm,,7,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AY1,อยุธยา 1,Solar ราชการ/สหกรณ์การเกษตร 1,,2,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AY3,,IND,,8,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,AY3,บางปะหัน,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,BI1,บางไทร,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,BI2,,Solar Farm,,0.16256,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,BI2,โรจนะ3,Solar Farm,,8,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,BI2,วังน้อย,Solar Farm,,16,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,SKK,ลาดบัวหลวง,Solar Farm,,5,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,SKK,ลาดบัวหลวง,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,SNO,บางปะอิน 3,Solar Farm,,8,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,SNO,ปทุมธานี 1,Biogas,,1,,
ภาคกลางตอนบน,พระนครศรีอยุธยา,SNO,ลาดบัวหลวง,Solar Farm,,3,,
ภาคกลางตอนบน,ลพบุรี,CBD,ชัยบาดาล 1,Biogas,,4,,
ภาคกลางตอนบน,ลพบุรี,CBD,ชัยบาดาล 2,Biomass,,8,,
ภาคกลางตอนบน,ลพบุรี,CBD,ชัยบาดาล 2,Solar Farm,,9.72,,
ภาคกลางตอนบน,ลพบุรี,LB2,โคกสำโรง,Biomass,,1.5,,
ภาคกลางตอนบน,ลพบุรี,LB2,โคกสำโรง,Solar Farm,,26.29,,
ภาคกลางตอนบน,ลพบุรี,LB2,ชัยบาดาล 2,Solar Farm,,9.5,,
ภาคกลางตอนบน,ลพบุรี,SI,สิงห์บุรี,Biomass,,8,,
ภาคกลางตอนบน,ลพบุรี,SI,สิงห์บุรี,Solar Farm,,2,,
ภาคกลางตอนบน,ลพบุรี,SR6,พัฒนานิคม,Solar Farm,,2,,
ภาคกลางตอนบน,ลพบุรี,TL3,พัฒนานิคม,Biomass,,14.8,,
ภาคกลางตอนบน,ลพบุรี,TL3,พัฒนานิคม,Solar Farm,,20,,
ภาคกลางตอนบน,ลพบุรี,TW,สิงห์บุรี,Solar ราชการ/สหกรณ์การเกษตร 1,,5,,
