"","egatsub","sub","voltage","region"
"1","BK/230","BK","230","MEA"
"2","BK/69","BK","69","MEA"
"3","BN/115","BN","115","MEA"
"4","BN/69","BN","69","MEA"
"5","BPL/115","BPL","115","MEA"
"6","BPL/69","BPL","69","MEA"
"7","CHW/115","CHW","115","MEA"
"8","DCP-N/115","DCP-N","115","MEA"
"9","KUS/115","KUS","115","MEA"
"10","LPR/230","LPR","230","MEA"
"11","LPR/69","LPR","69","MEA"
"12","NB/69","NB","69","MEA"
"13","NCO/115","NCO","115","MEA"
"14","ON/115","ON","115","MEA"
"15","PPT-F/115","PPT-F","115","MEA"
"16","RPS/115","RPS","115","MEA"
"17","RPS/69","RPS","69","MEA"
"18","RS/115","RS","115","MEA"
"19","RS/69","RS","69","MEA"
"20","SB/115","SB","115","MEA"
"21","SB/69","SB","69","MEA"
"22","SMC-F/115","SMC-F","115","MEA"
"23","SNO/115","SNO","115","MEA"
"24","SSUT-F1/115","SSUT-F1","115","MEA"
"25","SSUT-F2/115","SSUT-F2","115","MEA"
"26","STB/230","STB","230","MEA"
"27","STB/69","STB","69","MEA"
"28","STW/115","STW","115","MEA"
"29","TPR/115","TPR","115","MEA"
"30","TPR/69","TPR","69","MEA"
"31","AP/115","AP","115","R1"
"32","AP/22","AP","22","R1"
"33","ARA/115","ARA","115","R1"
"34","AT1/115","AT1","115","R1"
"35","AT2/115","AT2","115","R1"
"36","AT2/22","AT2","22","R1"
"37","AY1/22","AY1","22","R1"
"38","AY2/22","AY2","22","R1"
"39","AY3/115","AY3","115","R1"
"40","BBG/115","BBG","115","R1"
"41","BBG/22","BBG","22","R1"
"42","BI1/115","BI1","115","R1"
"43","BI1/22","BI1","22","R1"
"44","BI2/115","BI2","115","R1"
"45","BKI/115","BKI","115","R1"
"46","BKI/230","BKI","230","R1"
"47","BL/115","BL","115","R1"
"48","BL/22","BL","22","R1"
"49","BP1/22","BP1","22","R1"
"50","BP2/115","BP2","115","R1"
"51","BP2/22","BP2","22","R1"
"52","BSP/115","BSP","115","R1"
"53","BWN/115","BWN","115","R1"
"54","CA/22","CA","22","R1"
"55","CB/22","CB","22","R1"
"56","CBD/115","CBD","115","R1"
"57","CBD/22","CBD","22","R1"
"58","CC/22","CC","22","R1"
"59","CHK/0.38","CHK","0.38","R1"
"60","CT/115","CT","115","R1"
"61","CT/22","CT","22","R1"
"62","CTN/22","CTN","22","R1"
"63","DBN/115","DBN","115","R1"
"64","DBN/22","DBN","22","R1"
"65","HH/115","HH","115","R1"
"66","HKM/0.38","HKM","0.38","R1"
"67","KB/22","KB","22","R1"
"68","KB2/115","KB2","115","R1"
"69","KDP-H/22","KDP-H","22","R1"
"70","KKC/22","KKC","22","R1"
"71","KLA/115","KLA","115","R1"
"72","KLA/22","KLA","22","R1"
"73","KLM/115","KLM","115","R1"
"74","KS/115","KS","115","R1"
"75","KS/22","KS","22","R1"
"76","KUS/115","KUS","115","R1"
"77","LB1/22","LB1","22","R1"
"78","LB2/115","LB2","115","R1"
"79","LB2/22","LB2","22","R1"
"80","LLA/115","LLA","115","R1"
"81","MKL-H/22","MKL-H","22","R1"
"82","NCS/115","NCS","115","R1"
"83","NCS/22","NCS","22","R1"
"84","NV/115","NV","115","R1"
"85","NY/22","NY","22","R1"
"86","PA1/22","PA1","22","R1"
"87","PA2/115","PA2","115","R1"
"88","PA2/22","PA2","22","R1"
"89","PB/115","PB","115","R1"
"90","PB/22","PB","22","R1"
"91","PDG/115","PDG","115","R1"
"92","PKK/115","PKK","115","R1"
"93","PKK/22","PKK","22","R1"
"94","PRB/22","PRB","22","R1"
"95","PSC-H/22","PSC-H","22","R1"
"96","PTB/22","PTB","22","R1"
"97","PTG/115","PTG","115","R1"
"98","RB1/22","RB1","22","R1"
"99","RB2/115","RB2","115","R1"
"100","RB2/22","RB2","22","R1"
"101","RS/115","RS","115","R1"
"102","RS/69","RS","69","R1"
"103","RY1/115","RY1","115","R1"
"104","RY1/22","RY1","22","R1"
"105","RY2/115/12","RY2","115","R1"
"106","RY2/115/12A","RY2","115","R1"
"107","RY2/22","RY2","22","R1"
"108","RY3/22","RY3","22","R1"
"109","SA1/115","SA1","115","R1"
"110","SA1/22","SA1","22","R1"
"111","SA2/22","SA2","22","R1"
"112","SC/22","SC","22","R1"
"113","SI/115","SI","115","R1"
"114","SI/22","SI","22","R1"
"115","SM/22","SM","22","R1"
"116","SN1/22","SN1","22","R1"
"117","SN2/115","SN2","115","R1"
"118","SN2/22","SN2","22","R1"
"119","SN3/115","SN3","115","R1"
"120","SN3/22","SN3","22","R1"
"121","SN4/115","SN4","115","R1"
"122","SNO/115","SNO","115","R1"
"123","SNR/22","SNR","22","R1"
"124","SP/22","SP","22","R1"
"125","SR1/22","SR1","22","R1"
"126","SR2/115","SR2","115","R1"
"127","SR2/22","SR2","22","R1"
"128","SR4/115","SR4","115","R1"
"129","SR4/22","SR4","22","R1"
"130","SR5/115","SR5","115","R1"
"131","STW/115","STW","115","R1"
"132","TL1/115","TL1","115","R1"
"133","TL1/22","TL1","22","R1"
"134","TL3/115","TL3","115","R1"
"135","TM/22","TM","22","R1"
"136","TN/22","TN","22","R1"
"137","TR/115","TR","115","R1"
"138","TR/22","TR","22","R1"
"139","TSK-PV/22","TSK-PV","22","R1"
"140","TW/115","TW","115","R1"
"141","VRK/22","VRK","22","R1"
"142","WNK/115","WNK","115","R1"
"143","WNK/22","WNK","22","R1"
"144","AN/115","AN","115","R2"
"145","AN/22","AN","22","R2"
"146","BDG/115","BDG","115","R2"
"147","BKN/22","BKN","22","R2"
